date,slot,rank,rank_range,product_name,source,note,is_active,product_group,sub_group,original_product_group,exclude_from_opportunity
2026-05-15,pm,46,21-50,bnr17유산균,naver_top200,21~50_전량수집,Y,health,유산균,brand,Y
2026-05-15,pm,47,21-50,샤오커오라사탕,naver_top200,21~50_전량수집,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,48,21-50,양배추즙,naver_top200,21~50_전량수집,Y,processed,가공식품,가공식품,N
2026-05-15,pm,49,21-50,알부민,naver_top200,21~50_전량수집,Y,health,단백질/근육,건강식품,Y
2026-05-15,pm,50,21-50,하루견과,naver_top200,21~50_전량수집,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,51,51-100,포카리스웨트,naver_top200,Top200_확장후보,Y,processed,가공식품,브랜드_완제품,Y
2026-05-15,pm,52,51-100,전복,naver_top200,Top200_확장후보,Y,seafood,패류,수산물,N
2026-05-15,pm,53,51-100,네스프레소캡슐,naver_top200,Top200_확장후보,Y,brand,브랜드_완제품,브랜드_완제품,Y
2026-05-15,pm,54,51-100,토마토,naver_top200,Top200_확장후보,Y,agri,과채류,농산물,N
2026-05-15,pm,55,51-100,견과류,naver_top200,Top200_확장후보,Y,agri,견과류,가공식품,N
2026-05-15,pm,56,51-100,야채도사,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,57,51-100,알파cd,naver_top200,Top200_확장후보,Y,health,건강식품,건강식품,Y
2026-05-15,pm,58,51-100,맥심모카골드,naver_top200,Top200_확장후보,Y,processed,가공식품,브랜드_완제품,Y
2026-05-15,pm,59,51-100,삼다수,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,60,51-100,카라향,naver_top200,Top200_확장후보,Y,agri,과일,농산물,N
2026-05-15,pm,61,51-100,명게,naver_top200,Top200_확장후보,Y,seafood,갑각류,수산물,N
2026-05-15,pm,62,51-100,냉동블루베리,naver_top200,Top200_확장후보,Y,processed,가공식품,가공식품,N
2026-05-15,pm,63,51-100,암꽃게,naver_top200,Top200_확장후보,Y,seafood,갑각류,수산물,N
2026-05-15,pm,64,51-100,멜라토닌,naver_top200,Top200_확장후보,Y,health,건강식품,건강식품,Y
2026-05-15,pm,65,51-100,아이스크림,naver_top200,Top200_확장후보,Y,dessert,간식/디저트,브랜드_완제품,Y
2026-05-15,pm,66,51-100,참기름,naver_top200,Top200_확장후보,Y,ingredient,오일/유지,가공식품,N
2026-05-15,pm,67,51-100,고구마,naver_top200,Top200_확장후보,Y,agri,뿌리채소,농산물,N
2026-05-15,pm,68,51-100,카누,naver_top200,Top200_확장후보,Y,processed,음료/차류,브랜드_완제품,Y
