product_name,itemcategorycode,itemcode,kindcode,productrankcode,countrycode,label,item_name,kind_name,rank_name,retail_unit_name,wholesale_unit_name
사과,400,411,06,05,,사과-쓰가루(아오리)-중품,사과,쓰가루(아오리),중품,10개,10kg
사과,400,411,06,06,,사과-쓰가루(아오리)-하품,사과,쓰가루(아오리),하품,,
사과,400,411,07,04,,사과-홍로-상품,사과,홍로,상품,10개,10kg
사과,400,411,07,05,,사과-홍로-중품,사과,홍로,중품,10개,10kg
사과,400,411,07,06,,사과-홍로-하품,사과,홍로,하품,,
새우,600,654,1,5,,새우-흰다리(수입)-중품,새우,흰다리(수입),중품,10마리,2kg
새우젓,600,650,0,4,,새우젓-새우젓-상품,새우젓,새우젓,상품,1kg,
수박,200,221,00,04,,수박-수박-상품,수박,수박,상품,1개,1개
수박,200,221,00,05,,수박-수박-중품,수박,수박,중품,1개,1개
수박,200,221,00,07,,수박-수박-유기농,수박,수박,유기농,,
수박,200,221,00,08,,수박-수박-무농약,수박,수박,무농약,,
쌀,100,111,01,04,,쌀-20kg-상품,쌀,20kg,상품,20kg,20kg
쌀,100,111,01,05,,쌀-20kg-중품,쌀,20kg,중품,,20kg
쌀,100,111,02,07,,쌀-백미-유기농,쌀,백미,유기농,,
쌀,100,111,02,08,,쌀-백미-무농약,쌀,백미,무농약,,
쌀,100,111,03,07,,쌀-현미-유기농,쌀,현미,유기농,,
쌀,100,111,03,08,,쌀-현미-무농약,쌀,현미,무농약,,
쌀,100,111,05,04,,쌀-20kg(햅쌀)-상품,쌀,20kg(햅쌀),상품,20kg,20kg
쌀,100,111,05,05,,쌀-20kg(햅쌀)-중품,쌀,20kg(햅쌀),중품,,20kg
쌀,100,111,10,04,,쌀-10kg-상품,쌀,10kg,상품,10kg,
쌀,100,111,11,04,,쌀-10kg(햅쌀)-상품,쌀,10kg(햅쌀),상품,10kg,
아몬드,300,319,00,04,,아몬드-수입-상품,아몬드,수입,상품,,
아몬드,300,319,00,05,,아몬드-수입-중품,아몬드,수입,중품,100g,
아보카도,400,430,0,4,,아보카도-수입-상품,아보카도,수입,상품,1개,
양파,200,245,00,04,,양파-양파-상품,양파,양파,상품,1kg,15kg
