date,slot,source_type,source,rank,rank_range,product_name,note,product_group,sub_group,exclude_from_opportunity,search_ratio,shopping_ratio
2026-04-28,am,rising,naver_top200,92.0,51-100,이클립스,브랜드상품,브랜드_완제품,,Y,80.10695,33.62068
2026-04-28,am,rising,naver_top200,93.0,51-100,콘드로이친1200,건강식품,건강식품,,Y,87.05882,33.62068
2026-04-28,am,rising,naver_top200,94.0,51-100,la갈비,Top200_확장후보,축산물,,N,45.24064,33.37438
2026-04-28,am,rising,naver_top200,95.0,51-100,갑오징어,Top200_확장후보,수산물,,N,64.84848,33.12807
2026-04-28,am,rising,naver_top200,96.0,51-100,열무김치,반찬_가공식품,가공식품,,N,51.34003,50.5639
2026-04-28,am,rising,naver_top200,97.0,51-100,닭다리살,Top200_확장후보,축산물,,N,36.87883,50.37593
2026-04-28,am,rising,naver_top200,98.0,51-100,커큐민,건강식품,건강식품,,Y,62.25572,50.18796
2026-04-28,am,rising,naver_top200,99.0,51-100,비파열매,Top200_확장후보,농산물,,N,100.0,49.43609
2026-04-28,am,rising,naver_top200,100.0,51-100,복숭아,Top200_확장후보,농산물,,N,36.73925,49.24812
2026-04-28,am,rising,naver_top200,101.0,101-200,천혜향,Top200_확장후보,농산물,,N,24.23374,48.33948
2026-04-28,am,rising,naver_top200,102.0,101-200,맥심화이트골드,브랜드상품,브랜드_완제품,,Y,21.34059,48.15498
2026-04-28,am,rising,naver_top200,103.0,101-200,고등어,Top200_확장후보,수산물,,N,30.96533,47.97047
2026-04-28,am,rising,naver_top200,104.0,101-200,호두,Top200_확장후보,농산물,,N,25.12174,47.97047
2026-04-28,am,rising,naver_top200,105.0,101-200,두쫀쿠,디저트/떡,가공식품,,N,72.24291,47.23247
2026-04-28,am,rising,naver_top200,106.0,101-200,락토핏유산균,브랜드상품,브랜드_완제품,,Y,35.16264,49.22779
2026-04-28,am,rising,naver_top200,107.0,101-200,멜라토닌,건강식품,건강식품,,Y,85.7713,49.22779
2026-04-28,am,rising,naver_top200,108.0,101-200,조선호텔김치,브랜드상품,브랜드_완제품,,Y,31.35102,48.84169
2026-04-28,am,rising,naver_top200,109.0,101-200,바지락,Top200_확장후보,수산물,,N,16.42386,48.45559
2026-04-28,am,rising,naver_top200,110.0,101-200,뉴케어당플랜,브랜드상품,브랜드_완제품,,Y,19.21772,48.06949
2026-04-28,am,rising,naver_top200,111.0,101-200,민물장어,Top200_확장후보,수산물,,N,55.1398,53.43347
2026-04-28,am,rising,naver_top200,112.0,101-200,삼다수,브랜드상품,브랜드_완제품,,Y,82.52467,53.43347
2026-04-28,am,rising,naver_top200,113.0,101-200,양파,Top200_확장후보,농산물,,N,36.96546,53.43347
2026-04-28,am,rising,naver_top200,114.0,101-200,화과자,디저트/떡,가공식품,,N,50.32894,53.00429
2026-04-28,am,rising,naver_top200,115.0,101-200,고추장,농산_가공식품,가공식품,,N,25.08223,52.5751
2026-04-28,am,rising,naver_top200,116.0,101-200,육회,Top200_확장후보,축산물,,N,88.71983,53.96475
2026-04-28,am,rising,naver_top200,117.0,101-200,답례품,브랜드상품,브랜드_완제품,,Y,89.55928,53.74449
2026-04-28,am,rising,naver_top200,118.0,101-200,생수2l,브랜드상품,브랜드_완제품,,Y,42.86463,53.0837
2026-04-28,am,rising,naver_top200,119.0,101-200,삼다수2l,브랜드상품,브랜드_완제품,,Y,67.10388,52.86343
2026-04-28,am,rising,naver_top200,120.0,101-200,죽순,Top200_확장후보,농산물,,N,49.26547,52.86343
2026-04-28,am,rising,naver_top200,121.0,101-200,진미채,수산_가공식품,가공식품,,N,30.52147,48.38709
2026-04-28,am,rising,naver_top200,122.0,101-200,질유산균,건강식품,건강식품,,Y,62.42331,48.18548
2026-04-28,am,rising,naver_top200,123.0,101-200,컵라면,브랜드상품,브랜드_완제품,,Y,35.69785,48.18548
2026-04-28,am,rising,naver_top200,124.0,101-200,간장게장,수산_가공식품,가공식품,,N,86.46472,47.98387
2026-04-28,am,rising,naver_top200,125.0,101-200,구강유산균,건강식품,건강식품,,Y,59.39417,47.98387
2026-04-28,am,rising,naver_top200,127.0,101-200,홍어,Top200_확장후보,수산물,,N,41.16279,47.78225
2026-04-28,am,rising,naver_top200,128.0,101-200,딸기,Top200_확장후보,농산물,,N,68.60465,47.37903
2026-04-28,am,rising,naver_top200,129.0,101-200,모짜렐라치즈,유제품,가공식품,,N,35.95348,47.37903
2026-04-28,am,rising,naver_top200,130.0,101-200,쥐포,수산_가공식품,가공식품,,N,25.76744,47.37903
2026-04-28,am,rising,naver_top200,131.0,101-200,김치,반찬_가공식품,가공식품,,N,80.60465,47.17741
2026-04-28,am,rising,naver_top200,132.0,101-200,두리안,Top200_확장후보,농산물,,N,53.55504,44.12878
2026-04-28,am,rising,naver_top200,133.0,101-200,수향미,농산_가공식품,가공식품,,N,54.47247,44.12878
2026-04-28,am,rising,naver_top200,134.0,101-200,누룽지,농산_가공식품,가공식품,,N,57.5688,43.93939
2026-04-28,am,rising,naver_top200,135.0,101-200,종합비타민,건강식품,건강식품,,Y,86.06651,43.5606
2026-04-28,am,rising,naver_top200,136.0,101-200,커피믹스,브랜드상품,브랜드_완제품,,Y,53.03899,43.5606
2026-04-28,am,rising,naver_top200,137.0,101-200,오트밀,농산_가공식품,가공식품,,N,96.39147,45.4365
2026-04-28,am,rising,naver_top200,138.0,101-200,보이차,브랜드상품,브랜드_완제품,,Y,55.00273,45.23809
2026-04-28,am,rising,naver_top200,139.0,101-200,생수500,브랜드상품,브랜드_완제품,,Y,36.79606,45.03968
2026-04-28,am,rising,naver_top200,140.0,101-200,소곱창,축산_가공식품,가공식품,,N,60.36085,45.03968
2026-04-28,am,rising,naver_top200,141.0,101-200,산딸기,Top200_확장후보,농산물,,N,60.63422,44.84126
2026-04-28,am,rising,naver_top200,142.0,101-200,캠핑밀키트,반찬_가공식품,가공식품,,N,54.89478,43.60465
2026-04-28,am,rising,naver_top200,143.0,101-200,닭꼬치,축산_가공식품,가공식품,,N,40.66788,43.41085
2026-04-28,am,rising,naver_top200,144.0,101-200,비에날17유산균,브랜드상품,브랜드_완제품,,Y,80.69533,43.41085
2026-04-28,am,rising,naver_top200,145.0,101-200,홍삼,농산_가공식품,가공식품,,N,60.29277,43.41085
2026-04-28,am,rising,naver_top200,146.0,101-200,육포,축산_가공식품,가공식품,,N,30.83257,43.21705
2026-04-28,am,rising,naver_top200,147.0,101-200,가리비,Top200_확장후보,수산물,,N,35.78015,44.93927
2026-04-28,am,rising,naver_top200,148.0,101-200,봄나물종류,Top200_확장후보,농산물,,N,51.01438,44.93927
2026-04-28,am,rising,naver_top200,149.0,101-200,키위,Top200_확장후보,농산물,,N,31.90704,44.73684
2026-04-28,am,rising,naver_top200,150.0,101-200,고려은단비타민c1000,브랜드상품,브랜드_완제품,,Y,95.38915,44.53441
2026-04-28,am,rising,naver_top200,151.0,101-200,루테인지아잔틴,건강식품,건강식품,,Y,42.97307,44.53441
2026-04-28,am,rising,naver_top200,152.0,101-200,마누카꿀,벌꿀_원물식품,농축산물,,N,23.84178,49.77375
2026-04-28,am,rising,naver_top200,153.0,101-200,양갈비,Top200_확장후보,축산물,,N,28.25611,49.54751
2026-04-28,am,rising,naver_top200,154.0,101-200,과일,Top200_확장후보,농산물,,N,28.99912,49.32126
2026-04-28,am,rising,naver_top200,155.0,101-200,돼지갈비,축산_가공식품,가공식품,,N,57.3208,49.32126
2026-04-28,am,rising,naver_top200,156.0,101-200,떡,디저트/떡,가공식품,,N,28.19055,49.32126
