product_name,price_type,itemcategorycode,itemcode,kindcode,productrankcode,item_name,kind_name,rank_name,unit_name,itemname,kindname,countyname,marketname,yyyy,regday,price,full_regday,regday_dt,price_num
사과,wholesale,400,411,05,08,사과,후지,무농약,,사과,후지(10kg),대전,오정도매,2026,04/28,"67,300",2026-04-28,2026-04-28,67300.0
새우,retail,600,654,01,05,새우,흰다리(수입),중품,10마리,새우,흰다리(수입)(10마리),제주,동문,2026,04/28,"6,660",2026-04-28,2026-04-28,6660.0
새우,wholesale,600,654,01,05,새우,흰다리(수입),중품,2kg,새우,흰다리(수입)(2kg),대전,오정도매,2026,04/28,"30,000",2026-04-28,2026-04-28,30000.0
수박,retail,200,221,00,04,수박,수박,상품,1개,수박,수박(1개),제주,E-유통,2026,04/28,"25,900",2026-04-28,2026-04-28,25900.0
수박,retail,200,221,00,05,수박,수박,중품,1개,수박,수박(1개),제주,E-유통,2026,04/28,"21,900",2026-04-28,2026-04-28,21900.0
수박,retail,200,221,00,07,수박,수박,유기농,,수박,수박(1개),제주,E-유통,2026,04/28,"25,900",2026-04-28,2026-04-28,25900.0
수박,retail,200,221,00,08,수박,수박,무농약,,수박,수박(1개),제주,E-유통,2026,04/28,"21,900",2026-04-28,2026-04-28,21900.0
수박,wholesale,200,221,00,04,수박,수박,상품,1개,수박,수박(1개),대전,오정도매,2026,04/28,"29,000",2026-04-28,2026-04-28,29000.0
수박,wholesale,200,221,00,05,수박,수박,중품,1개,수박,수박(1개),대전,오정도매,2026,04/28,"22,000",2026-04-28,2026-04-28,22000.0
수박,wholesale,200,221,00,07,수박,수박,유기농,,수박,수박(1개),대전,오정도매,2026,04/28,"29,000",2026-04-28,2026-04-28,29000.0
수박,wholesale,200,221,00,08,수박,수박,무농약,,수박,수박(1개),대전,오정도매,2026,04/28,"22,000",2026-04-28,2026-04-28,22000.0
쌀,retail,100,111,01,04,쌀,20kg,상품,20kg,쌀,20kg(20kg),제주,E-유통,2026,04/28,"59,900",2026-04-28,2026-04-28,59900.0
쌀,retail,100,111,10,04,쌀,10kg,상품,10kg,쌀,10kg(10kg),제주,E-유통,2026,04/28,"38,900",2026-04-28,2026-04-28,38900.0
쌀,wholesale,100,111,01,04,쌀,20kg,상품,20kg,쌀,20kg(20kg),대전,인동,2026,04/28,"61,000",2026-04-28,2026-04-28,61000.0
쌀,wholesale,100,111,01,05,쌀,20kg,중품,20kg,쌀,20kg(20kg),대구,서문,2026,04/28,"57,000",2026-04-28,2026-04-28,57000.0
아몬드,retail,300,319,00,05,아몬드,수입,중품,100g,아몬드,수입(100g),제주,E-유통,2026,04/28,"1,530",2026-04-28,2026-04-28,1530.0
아보카도,retail,400,430,00,04,아보카도,수입,상품,1개,아보카도,수입(1개),제주,E-유통,2026,04/28,"1,990",2026-04-28,2026-04-28,1990.0
양파,retail,200,245,00,04,양파,양파,상품,1kg,양파,양파(1kg),제주,E-유통,2026,04/28,"1,320",2026-04-28,2026-04-28,1320.0
양파,retail,200,245,00,05,양파,양파,중품,1kg,양파,양파(1kg),김해,A-유통,2026,04/15,"1,990",2026-04-15,2026-04-15,1990.0
