date,slot,source_type,source,product_name,canonical_product_name,rank,rank_range,prev_rank,rank_change,rank_direction,rank_change_label,is_new_entry,is_reentry,last_seen_date,last_seen_slot,last_seen_rank,days_since_last_seen,days_seen_7d,days_seen_14d,consecutive_days,best_rank_14d,worst_rank_14d,rank_velocity_3d,rising_stage,rising_score,rising_reason,rising_level,confidence_level,action_level,stable_summary,product_group,sub_group,original_product_group,exclude_from_opportunity,exclude_reason,note
2026-04-28,am,rising,naver_top200,홍어,홍어,127,101-200,172.0,45.0,up,▲ 45단계,N,N,2026-04-27,pm,172.0,1.0,3,3,2,123,172,45.0,NAVER_WATCH,56.0,초기 관찰 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름,WATCH,medium,추가 관찰,홍어은 초기 관찰 후보입니다. 최근 3일 기준 45단계 상승 흐름이 확인됩니다.,seafood,생선/수산물,수산물,N,,Top200_확장후보
2026-04-28,am,rising,naver_top200,돼지갈비,돼지갈비,155,101-200,192.0,37.0,up,▲ 37단계,N,N,2026-04-27,pm,192.0,1.0,3,3,2,155,192,37.0,NAVER_WATCH,56.0,초기 관찰 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름,WATCH,medium,추가 관찰,돼지갈비은 초기 관찰 후보입니다. 최근 3일 기준 37단계 상승 흐름이 확인됩니다.,processed,가공식품,가공식품,N,,축산_가공식품
2026-04-28,am,rising,naver_top200,오렌지,오렌지,37,21-50,26.0,-11.0,down,▼ 11단계,N,N,2026-04-27,pm,26.0,1.0,6,6,6,22,38,-15.0,NAVER_RISING,55.7,Top20 진입 직전 구간 · 순위 하락 · 최근 7일 중 6일 등장 · 6일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"오렌지은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 37위이며, 최근 7일 중 6일 등장했습니다.",agri,과일,농산물,N,,21~50_전량수집
2026-04-28,am,rising,naver_top200,누룽지,누룽지,134,101-200,173.0,39.0,up,▲ 39단계,N,N,2026-04-27,pm,173.0,1.0,6,6,6,123,192,-11.0,NAVER_WATCH,54.8,초기 관찰 구간 · 전 스냅샷 대비 급상승 · 최근 7일 중 6일 등장 · 6일 연속 등장,WATCH,high,추가 관찰,누룽지은 네이버 21~200위권에서 관찰 중인 후보입니다. 추가 수집 후 반복 등장 여부를 확인해야 합니다.,processed,가공식품,가공식품,N,,농산_가공식품
2026-04-28,am,rising,naver_top200,모짜렐라치즈,모짜렐라치즈,129,101-200,148.0,19.0,up,▲ 19단계,N,N,2026-04-27,pm,148.0,1.0,5,5,5,129,198,28.0,NAVER_WATCH,54.0,초기 관찰 구간 · 전 스냅샷 대비 상승 · 최근 3일 상승 흐름 · 최근 7일 중 5일 등장 · 5일 연속 등장,WATCH,high,추가 관찰,모짜렐라치즈은 초기 관찰 후보입니다. 최근 3일 기준 28단계 상승 흐름이 확인됩니다.,ingredient,유제품원료,가공식품,N,,유제품
2026-04-28,am,rising,naver_top200,다크초콜릿,다크초콜릿,88,51-100,,,reentry,RE-ENTRY,N,Y,2026-04-26,pm,122.0,2.0,4,4,1,88,197,34.0,NAVER_WARMING_FAST,53.0,중위권 관심 형성 구간 · 재진입 · 최근 3일 상승 속도 빠름 · 최근 7일 중 4일 등장,WARMING,high,관찰 강화,"다크초콜릿은 관심 형성 구간에 있는 후보입니다. 현재 88위이며, 순위 변화는 RE-ENTRY입니다.",dessert,과자/간식,수입원재료,N,,Top200_확장후보
2026-04-28,am,rising,naver_top200,열무김치,열무김치,96,51-100,,,reentry,RE-ENTRY,N,Y,2026-04-26,pm,145.0,2.0,5,5,1,87,145,49.0,NAVER_WARMING_FAST,53.0,중위권 관심 형성 구간 · 재진입 · 최근 3일 상승 속도 빠름 · 최근 7일 중 5일 등장,WARMING,high,관찰 강화,"열무김치은 관심 형성 구간에 있는 후보입니다. 현재 96위이며, 순위 변화는 RE-ENTRY입니다.",processed,김치/절임,가공식품,N,,반찬_가공식품
2026-04-28,am,rising,naver_top200,la갈비,la갈비,94,51-100,48.0,-46.0,down,▼ 46단계,N,N,2026-04-27,pm,48.0,1.0,5,5,5,48,166,72.0,NAVER_WARMING_FAST,52.0,중위권 관심 형성 구간 · 순위 하락 · 최근 3일 상승 속도 빠름 · 최근 7일 중 5일 등장 · 5일 연속 등장,WARMING,high,관찰 강화,"la갈비은 관심 형성 구간에 있는 후보입니다. 현재 94위이며, 순위 변화는 ▼ 46단계입니다.",meat,소고기,meat,N,,Top200_확장후보
2026-04-28,am,rising,naver_top200,소곱창,소곱창,140,101-200,185.0,45.0,up,▲ 45단계,N,N,2026-04-27,pm,185.0,1.0,2,2,2,140,185,45.0,NAVER_WATCH,52.0,초기 관찰 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름,WATCH,medium,추가 관찰,소곱창은 초기 관찰 후보입니다. 최근 3일 기준 45단계 상승 흐름이 확인됩니다.,processed,가공식품,가공식품,N,,축산_가공식품
2026-04-28,am,rising,naver_top200,계란,계란,32,21-50,,,reentry,RE-ENTRY,N,Y,2026-04-26,pm,31.0,2.0,4,4,1,31,63,-1.0,NAVER_RISING,51.8,Top20 진입 직전 구간 · 재진입 · 최근 7일 중 4일 등장,WARMING,high,관찰 강화,"계란은 관심 형성 구간에 있는 후보입니다. 현재 32위이며, 순위 변화는 RE-ENTRY입니다.",meat,계란,가공식품,N,,축산_가공식품
2026-04-28,am,rising,naver_top200,명이나물,명이나물,55,51-100,72.0,17.0,up,▲ 17단계,N,N,2026-04-27,pm,72.0,1.0,5,5,4,22,72,-9.0,NAVER_WARMING,50.2,중위권 관심 형성 구간 · 전 스냅샷 대비 상승 · 최근 7일 중 5일 등장 · 4일 연속 등장,WARMING,high,관찰 강화,"명이나물은 관심 형성 구간에 있는 후보입니다. 현재 55위이며, 순위 변화는 ▲ 17단계입니다.",agri,엽채/나물,농산물,N,,Top200_확장후보
2026-04-28,am,rising,naver_top200,딸기,딸기,128,101-200,175.0,47.0,up,▲ 47단계,N,N,2026-04-27,pm,175.0,1.0,6,6,6,93,175,-35.0,NAVER_WATCH,50.0,초기 관찰 구간 · 전 스냅샷 대비 급상승 · 최근 7일 중 6일 등장 · 6일 연속 등장,WATCH,high,추가 관찰,딸기은 네이버 21~200위권에서 관찰 중인 후보입니다. 추가 수집 후 반복 등장 여부를 확인해야 합니다.,agri,과일,농산물,N,,Top200_확장후보
2026-04-28,am,rising,naver_top200,닭다리살,닭다리살,97,51-100,79.0,-18.0,down,▼ 18단계,N,N,2026-04-27,pm,79.0,1.0,6,6,6,79,169,11.0,NAVER_WARMING,49.6,중위권 관심 형성 구간 · 순위 하락 · 최근 3일 상승 흐름 · 최근 7일 중 6일 등장 · 6일 연속 등장,WARMING,high,관찰 강화,"닭다리살은 관심 형성 구간에 있는 후보입니다. 현재 97위이며, 순위 변화는 ▼ 18단계입니다.",meat,닭고기,축산물,N,,Top200_확장후보
2026-04-28,am,rising,naver_top200,호두,호두,104,101-200,125.0,21.0,up,▲ 21단계,N,N,2026-04-27,pm,125.0,1.0,6,6,6,65,130,-12.0,NAVER_WATCH,49.6,초기 관찰 구간 · 전 스냅샷 대비 상승 · 최근 7일 중 6일 등장 · 6일 연속 등장,WATCH,high,추가 관찰,호두은 네이버 21~200위권에서 관찰 중인 후보입니다. 추가 수집 후 반복 등장 여부를 확인해야 합니다.,agri,견과류,농산물,N,,Top200_확장후보
