product_name,period,shopping_ratio,shopping_keywords
그릭요거트,2026-04-18,33.65617,그릭요거트
그릭요거트,2026-04-19,36.80387,그릭요거트
그릭요거트,2026-04-20,41.64648,그릭요거트
그릭요거트,2026-04-21,39.34624,그릭요거트
그릭요거트,2026-04-22,40.31476,그릭요거트
그릭요거트,2026-04-23,46.00484,그릭요거트
그릭요거트,2026-04-24,39.10411,그릭요거트
그릭요거트,2026-04-25,42.00968,그릭요거트
그릭요거트,2026-04-26,100,그릭요거트
그릭요거트,2026-04-27,39.46731,그릭요거트
그릭요거트,2026-04-28,38.98305,그릭요거트
기한,2026-04-15,50.7772,기한
기한,2026-04-16,34.71502,기한
기한,2026-04-17,32.64248,기한
기한,2026-04-18,18.13471,기한
기한,2026-04-19,11.65803,기한
기한,2026-04-20,38.60103,기한
기한,2026-04-21,50.25906,기한
기한,2026-04-22,44.81865,기한
기한,2026-04-23,46.11398,기한
기한,2026-04-24,25.64766,기한
기한,2026-04-25,15.54404,기한
기한,2026-04-26,24.35233,기한
기한,2026-04-27,42.74611,기한
기한,2026-04-28,53.88601,기한
김치,2026-04-15,58.46774,김치
김치,2026-04-16,49.39516,김치
김치,2026-04-17,43.95161,김치
김치,2026-04-18,32.25806,김치
김치,2026-04-19,43.95161,김치
김치,2026-04-20,53.02419,김치
김치,2026-04-21,59.67741,김치
김치,2026-04-22,60.08064,김치
김치,2026-04-23,50,김치
김치,2026-04-24,47.17741,김치
김치,2026-04-25,32.8629,김치
김치,2026-04-26,82.66129,김치
김치,2026-04-27,55.64516,김치
김치,2026-04-28,47.17741,김치
꽃게,2026-04-15,42.03883,꽃게
꽃게,2026-04-16,52.42718,꽃게
꽃게,2026-04-17,42.81553,꽃게
꽃게,2026-04-18,26.79611,꽃게
꽃게,2026-04-19,38.83495,꽃게
꽃게,2026-04-20,53.39805,꽃게
꽃게,2026-04-21,48.4466,꽃게
꽃게,2026-04-22,50,꽃게
꽃게,2026-04-23,63.0097,꽃게
꽃게,2026-04-24,49.61165,꽃게
꽃게,2026-04-25,32.91262,꽃게
꽃게,2026-04-26,84.46601,꽃게
꽃게,2026-04-27,54.66019,꽃게
꽃게,2026-04-28,54.07766,꽃게
낫또,2026-04-15,46.42857,낫또
낫또,2026-04-16,44.74789,낫또
낫또,2026-04-17,41.80672,낫또
낫또,2026-04-18,36.55462,낫또
낫또,2026-04-19,37.60504,낫또
낫또,2026-04-20,52.73109,낫또
낫또,2026-04-21,35.71428,낫또
낫또,2026-04-22,38.86554,낫또
낫또,2026-04-23,49.57983,낫또
낫또,2026-04-24,43.06722,낫또
낫또,2026-04-25,40.54621,낫또
낫또,2026-04-26,68.06722,낫또
낫또,2026-04-27,57.35294,낫또
낫또,2026-04-28,44.11764,낫또
냉동블루베리,2026-04-15,40.32663,냉동블루베리
냉동블루베리,2026-04-16,41.83417,냉동블루베리
냉동블루베리,2026-04-17,39.82412,냉동블루베리
냉동블루베리,2026-04-18,41.0804,냉동블루베리
냉동블루베리,2026-04-19,43.59296,냉동블루베리
냉동블루베리,2026-04-20,39.94974,냉동블루베리
냉동블루베리,2026-04-21,42.46231,냉동블루베리
냉동블루베리,2026-04-22,44.47236,냉동블루베리
냉동블루베리,2026-04-23,39.19597,냉동블루베리
냉동블루베리,2026-04-24,34.04522,냉동블루베리
냉동블루베리,2026-04-25,35.92964,냉동블루베리
냉동블루베리,2026-04-26,100,냉동블루베리
냉동블루베리,2026-04-27,46.48241,냉동블루베리
냉동블루베리,2026-04-28,44.59798,냉동블루베리
냉면,2026-04-15,42.97188,냉면
냉면,2026-04-16,52.40963,냉면
냉면,2026-04-17,34.53815,냉면
냉면,2026-04-18,34.93975,냉면
냉면,2026-04-19,52.20883,냉면
냉면,2026-04-20,46.18473,냉면
냉면,2026-04-21,45.58232,냉면
냉면,2026-04-22,32.93172,냉면
냉면,2026-04-23,43.7751,냉면
냉면,2026-04-24,35.54216,냉면
냉면,2026-04-25,33.13253,냉면
냉면,2026-04-26,100,냉면
냉면,2026-04-27,49.79919,냉면
냉면,2026-04-28,42.97188,냉면
누룽지,2026-04-15,44.12878,누룽지
누룽지,2026-04-16,43.5606,누룽지
누룽지,2026-04-17,34.65909,누룽지
누룽지,2026-04-18,35.98484,누룽지
누룽지,2026-04-19,39.58333,누룽지
누룽지,2026-04-20,55.68181,누룽지
누룽지,2026-04-21,45.83333,누룽지
누룽지,2026-04-22,41.09848,누룽지
누룽지,2026-04-23,39.96212,누룽지
누룽지,2026-04-24,32.76515,누룽지
누룽지,2026-04-25,29.35606,누룽지
누룽지,2026-04-26,83.71212,누룽지
누룽지,2026-04-27,39.39393,누룽지
누룽지,2026-04-28,43.93939,누룽지
뉴케어,2026-04-15,36.46408,뉴케어
뉴케어,2026-04-16,41.16022,뉴케어
뉴케어,2026-04-17,38.85819,뉴케어
뉴케어,2026-04-18,31.86003,뉴케어
뉴케어,2026-04-19,36.92449,뉴케어
뉴케어,2026-04-20,38.12154,뉴케어
뉴케어,2026-04-21,42.26519,뉴케어
뉴케어,2026-04-22,38.95027,뉴케어
뉴케어,2026-04-23,37.75322,뉴케어
뉴케어,2026-04-24,39.59484,뉴케어
뉴케어,2026-04-25,38.48987,뉴케어
뉴케어,2026-04-26,99.26335,뉴케어
뉴케어,2026-04-27,50.73664,뉴케어
뉴케어,2026-04-28,39.96316,뉴케어
뉴케어구수한맛,2026-04-15,48.19444,뉴케어구수한맛
뉴케어구수한맛,2026-04-16,49.44444,뉴케어구수한맛
뉴케어구수한맛,2026-04-17,45.55555,뉴케어구수한맛
뉴케어구수한맛,2026-04-18,47.08333,뉴케어구수한맛
뉴케어구수한맛,2026-04-19,42.22222,뉴케어구수한맛
뉴케어구수한맛,2026-04-20,51.52777,뉴케어구수한맛
뉴케어구수한맛,2026-04-21,54.44444,뉴케어구수한맛
뉴케어구수한맛,2026-04-22,55,뉴케어구수한맛
뉴케어구수한맛,2026-04-23,58.05555,뉴케어구수한맛
뉴케어구수한맛,2026-04-24,47.63888,뉴케어구수한맛
뉴케어구수한맛,2026-04-25,40.69444,뉴케어구수한맛
뉴케어구수한맛,2026-04-26,100,뉴케어구수한맛
뉴케어구수한맛,2026-04-27,51.80555,뉴케어구수한맛
뉴케어구수한맛,2026-04-28,47.63888,뉴케어구수한맛
뉴케어당플랜,2026-04-15,44.98069,뉴케어당플랜
뉴케어당플랜,2026-04-16,44.20849,뉴케어당플랜
뉴케어당플랜,2026-04-17,57.91505,뉴케어당플랜
뉴케어당플랜,2026-04-18,36.87258,뉴케어당플랜
뉴케어당플랜,2026-04-19,47.10424,뉴케어당플랜
뉴케어당플랜,2026-04-20,45.94594,뉴케어당플랜
뉴케어당플랜,2026-04-21,48.64864,뉴케어당플랜
뉴케어당플랜,2026-04-22,35.13513,뉴케어당플랜
뉴케어당플랜,2026-04-23,57.3359,뉴케어당플랜
뉴케어당플랜,2026-04-24,45.17374,뉴케어당플랜
뉴케어당플랜,2026-04-25,45.75289,뉴케어당플랜
뉴케어당플랜,2026-04-26,80.30888,뉴케어당플랜
뉴케어당플랜,2026-04-27,40.73359,뉴케어당플랜
뉴케어당플랜,2026-04-28,48.06949,뉴케어당플랜
다크초콜릿,2026-04-15,31.45896,다크초콜릿
다크초콜릿,2026-04-16,33.89057,다크초콜릿
다크초콜릿,2026-04-17,30.54711,다크초콜릿
다크초콜릿,2026-04-18,31.61094,다크초콜릿
다크초콜릿,2026-04-19,31.61094,다크초콜릿
다크초콜릿,2026-04-20,35.86626,다크초콜릿
다크초콜릿,2026-04-21,35.71428,다크초콜릿
다크초콜릿,2026-04-22,28.1155,다크초콜릿
다크초콜릿,2026-04-23,27.35562,다크초콜릿
다크초콜릿,2026-04-24,25.68389,다크초콜릿
다크초콜릿,2026-04-25,24.77203,다크초콜릿
다크초콜릿,2026-04-26,67.4772,다크초콜릿
다크초콜릿,2026-04-27,26.13981,다크초콜릿
다크초콜릿,2026-04-28,41.94528,다크초콜릿
단백질쉐이크,2026-04-15,43.26241,단백질쉐이크
단백질쉐이크,2026-04-16,49.82269,단백질쉐이크
단백질쉐이크,2026-04-17,45.74468,단백질쉐이크
단백질쉐이크,2026-04-18,44.68085,단백질쉐이크
단백질쉐이크,2026-04-19,49.46808,단백질쉐이크
단백질쉐이크,2026-04-20,66.48936,단백질쉐이크
단백질쉐이크,2026-04-21,56.20567,단백질쉐이크
단백질쉐이크,2026-04-22,50.70921,단백질쉐이크
단백질쉐이크,2026-04-23,52.12765,단백질쉐이크
단백질쉐이크,2026-04-24,40.95744,단백질쉐이크
단백질쉐이크,2026-04-25,33.68794,단백질쉐이크
단백질쉐이크,2026-04-26,87.23404,단백질쉐이크
단백질쉐이크,2026-04-27,46.09929,단백질쉐이크
단백질쉐이크,2026-04-28,51.24113,단백질쉐이크
단백질음료,2026-04-15,41.63701,단백질음료
단백질음료,2026-04-16,36.6548,단백질음료
단백질음료,2026-04-17,37.01067,단백질음료
단백질음료,2026-04-18,35.40925,단백질음료
단백질음료,2026-04-19,37.18861,단백질음료
단백질음료,2026-04-20,37.72241,단백질음료
단백질음료,2026-04-21,45.72953,단백질음료
단백질음료,2026-04-22,51.95729,단백질음료
단백질음료,2026-04-23,39.85765,단백질음료
단백질음료,2026-04-24,27.58007,단백질음료
단백질음료,2026-04-25,27.93594,단백질음료
단백질음료,2026-04-26,89.32384,단백질음료
단백질음료,2026-04-27,38.07829,단백질음료
단백질음료,2026-04-28,37.90035,단백질음료
닭가슴살,2026-04-15,46.0419,닭가슴살
닭가슴살,2026-04-16,44.29569,닭가슴살
닭가슴살,2026-04-17,42.54947,닭가슴살
닭가슴살,2026-04-18,36.08847,닭가슴살
닭가슴살,2026-04-19,42.95692,닭가슴살
