product_name,auction_date,market_code,market_name,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,corp_count,raw_high_price,raw_low_price
마늘쫑,2026-05-11,310101,수원,16321.8,17000.0,15200.0,3070.0,11,8,3,2,20000.0,2500.0
마늘쫑,2026-05-11,230001,인천남촌,9573.9,21000.0,3500.0,2776.0,21,19,2,3,21100.0,3300.0
마늘쫑,2026-05-11,320201,원주,15210.3,18900.0,3675.0,2743.0,25,22,3,2,21000.0,2500.0
마늘쫑,2026-05-11,340101,천안,15126.3,20000.0,3600.0,2696.0,15,13,2,1,20200.0,3500.0
마늘쫑,2026-05-11,210009,부산반여,11650.8,12800.0,4100.0,2200.0,19,13,6,3,12900.0,800.0
마늘쫑,2026-05-11,330201,충주,15320.0,16500.0,14300.0,2000.0,12,10,2,1,16800.0,10000.0
마늘쫑,2026-05-11,250003,대전노은,13081.8,14300.0,3000.0,1675.0,15,13,2,2,17700.0,2600.0
마늘쫑,2026-05-11,320301,강릉,19040.2,20200.0,19000.0,1611.0,8,7,1,1,20200.0,2600.0
마늘쫑,2026-05-11,380101,창원팔용,13105.7,13600.0,3600.0,1476.8,15,15,0,1,13600.0,3600.0
마늘쫑,2026-05-11,310901,안산,12965.7,14400.0,2600.0,1160.0,6,6,0,1,14400.0,2600.0
마늘쫑,2026-05-11,370101,포항,1600.2,2450.0,1140.0,1140.0,6,6,0,1,2450.0,1140.0
마늘쫑,2026-05-11,350101,전주,12014.7,15000.0,3000.0,971.0,16,16,0,2,15000.0,3000.0
마늘쫑,2026-05-11,380401,진주,6838.0,7700.0,3300.0,958.2,17,15,2,2,8000.0,3200.0
마늘쫑,2026-05-11,380201,울산,9426.8,20000.0,2600.0,918.2,12,11,1,2,20000.0,2200.0
마늘쫑,2026-05-11,210001,부산엄궁,5271.4,14100.0,2000.0,840.0,10,9,1,3,50000.0,2000.0
마늘쫑,2026-05-11,380303,창원내서,13082.8,15000.0,7100.0,816.0,13,8,5,1,15500.0,2100.0
마늘쫑,2026-05-11,350301,익산,18488.2,48000.0,5000.0,739.0,8,8,0,1,48000.0,5000.0
마늘쫑,2026-05-11,360301,순천,9452.9,12000.0,3500.0,563.0,13,11,2,2,12600.0,3000.0
마늘쫑,2026-05-11,311201,구리,2220.0,3000.0,1700.0,500.0,22,16,6,1,16000.0,1500.0
마늘쫑,2026-05-11,310401,안양,16627.7,23500.0,3500.0,470.0,10,9,1,1,23500.0,3000.0
마늘쫑,2026-05-11,371501,구미,6231.4,8000.0,2400.0,102.0,13,10,3,2,8100.0,1200.0
마늘쫑,2026-05-11,320101,춘천,14861.4,18000.0,9550.0,35.0,6,6,0,2,18000.0,9550.0
마늘쫑,2026-05-11,350402,정읍,10000.0,10000.0,10000.0,4.0,1,1,0,1,10000.0,10000.0
망고,2026-05-11,240004,광주서부,30314.9,46000.0,7000.0,7430.0,154,154,0,2,46000.0,7000.0
망고,2026-05-11,110001,서울가락,120432.9,170000.0,55000.0,1416.0,110,108,2,3,170000.0,50000.0
망고,2026-05-11,240001,광주각화,37745.4,40000.0,37000.0,1090.0,18,18,0,2,40000.0,37000.0
망고,2026-05-11,340101,천안,32300.0,32300.0,32300.0,425.0,2,2,0,1,32300.0,32300.0
망고,2026-05-11,380101,창원팔용,35957.1,37100.0,34000.0,350.0,7,7,0,1,37100.0,34000.0
망고,2026-05-11,330101,청주,25850.0,26300.0,25000.0,300.0,4,4,0,1,26300.0,25000.0
망고,2026-05-11,330201,충주,42294.9,42600.0,42000.0,295.0,6,6,0,1,42600.0,42000.0
망고,2026-05-11,320201,원주,39013.3,39520.0,38000.0,285.0,14,12,2,2,41600.0,33280.0
망고,2026-05-11,360301,순천,36000.0,36000.0,36000.0,55.0,2,2,0,1,36000.0,36000.0
매실,2026-05-11,240001,광주각화,800.0,800.0,800.0,50.0,1,1,0,1,800.0,800.0
방울토마토,2026-05-11,110001,서울가락,12691.6,34000.0,6000.0,28239.0,284,280,4,3,41000.0,5000.0
방울토마토,2026-05-11,220001,대구북부,17175.5,33000.0,6500.0,3265.0,45,41,4,4,33500.0,3000.0
방울토마토,2026-05-11,210001,부산엄궁,11043.2,21000.0,8000.0,1965.0,12,10,2,1,25000.0,7700.0
방울토마토,2026-05-11,240004,광주서부,14803.9,24600.0,8100.0,1945.0,29,27,2,1,25600.0,7200.0
방울토마토,2026-05-11,380303,창원내서,8764.8,9500.0,5600.0,1822.0,32,31,1,1,9500.0,3000.0
방울토마토,2026-05-11,210009,부산반여,4373.1,5100.0,3600.0,1018.0,15,14,1,1,5500.0,3600.0
방울토마토,2026-05-11,310101,수원,10284.6,14000.0,5500.0,599.0,8,8,0,2,14000.0,5500.0
방울토마토,2026-05-11,230001,인천남촌,9414.2,12000.0,7000.0,466.0,7,7,0,1,12000.0,7000.0
방울토마토,2026-05-11,350101,전주,18497.7,22500.0,10200.0,344.0,4,4,0,1,22500.0,10200.0
방울토마토,2026-05-11,310901,안산,27027.0,35000.0,9500.0,333.0,6,6,0,1,35000.0,9500.0
방울토마토,2026-05-11,110008,서울강서,10360.2,12000.0,9500.0,279.0,4,4,0,1,12000.0,9500.0
방울토마토,2026-05-11,320101,춘천,12772.0,17000.0,10200.0,245.0,4,4,0,2,17000.0,10200.0
복숭아,2026-05-11,350101,전주,17285.7,18000.0,13000.0,10.5,2,2,0,1,18000.0,13000.0
복숭아,2026-05-11,320101,춘천,48000.0,48000.0,48000.0,2.0,1,1,0,1,48000.0,48000.0
